Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1510061460,37.601,4.031,30.857,4.031,43.641,15.244
1510061520,36.601,3.031,29.857,3.031,42.641,14.244
1510061580,35.601,2.031,28.857,2.031,41.641,13.244
1510061640,40.641,3.936,34.907,3.936,40.641,12.244
1510061700,39.641,2.936,33.907,2.936,39.641,11.244
1510061760,38.641,1.936,32.907,1.936,40.516,16.534
1510061820,39.516,4.978,34.257,4.978,39.516,15.534
1510061880,38.516,3.978,33.257,3.978,38.516,14.534
1510061940,37.516,2.978,32.257,2.978,37.516,13.534
1510062000,36.516,1.978,31.257,1.978,36.516,12.534
1510062060,35.516,6.591,34.957,6.591,35.516,11.534
1510062120,34.516,5.591,33.957,5.591,34.516,10.534
1510062180,33.516,4.591,32.957,4.591,44.826,17.654
1510062240,32.516,3.591,31.957,3.591,43.826,16.654
1510062300,31.516,2.591,30.957,2.591,42.826,15.654
1510062360,50.232,16.344,44.057,16.344,41.826,14.654
1510062420,49.232,15.344,43.057,15.344,40.826,13.654
1510062480,48.232,14.344,42.057,14.344,39.826,12.654
1510062540,47.232,13.344,41.057,13.344,38.826,11.654
1510062600,46.232,12.344,40.057,12.344,37.826,10.654
1510062660,45.232,11.344,39.057,11.344,45.232,22.777
1510062720,44.232,10.344,38.057,10.344,44.232,21.777
1510062780,43.232,9.344,37.057,9.344,43.232,20.777
1510062840,42.232,8.344,36.057,8.344,42.232,19.777
1510062900,41.232,7.344,35.057,7.344,41.232,18.777
1510062960,40.232,6.344,34.057,6.344,40.232,17.777
1510063020,39.232,5.344,33.057,5.344,39.232,16.777
1510063080,38.232,4.344,32.057,4.344,38.232,15.777
1510063140,37.232,3.344,31.057,3.344,37.232,14.777
1510138800,43.323,6.713,32.273,6.713,43.323,21.525
1510138860,42.323,5.713,31.273,5.713,42.323,20.525
1510138920,41.323,4.713,30.273,4.713,41.323,19.525
1510138980,40.323,3.713,29.273,3.713,40.323,18.525
1510139040,39.323,2.713,28.273,2.713,39.323,17.525
1510139100,38.323,1.713,27.273,1.713,38.323,16.525
1510139160,37.323,2.96,26.273,2.96,37.323,15.525
1510139220,36.323,1.96,25.273,1.96,36.323,14.525
1510139280,35.323,5.782,32.857,5.782,35.323,13.525
1510139340,34.323,4.782,31.857,4.782,34.323,12.525
1510139400,33.323,3.782,30.857,3.782,33.323,11.525
1510139460,32.323,2.782,29.857,2.782,32.323,10.525
1510139520,31.323,1.782,28.857,1.782,36.192,15.877
1510139580,30.323,4.179,32.557,4.179,35.192,14.877
1510139640,29.323,3.179,31.557,3.179,34.192,13.877
1510139700,28.323,2.179,30.557,2.179,33.192,12.877
1510139760,32.192,5.504,29.557,5.504,32.192,11.877
1510139820,31.192,4.504,28.557,4.504,31.192,10.877
1510139880,30.192,3.504,27.557,3.504,42.814,18.009
1510139940,29.192,2.504,26.557,2.504,41.814,17.009
1510140000,40.814,7.667,34.957,7.667,40.814,16.009
1510140060,39.814,6.667,33.957,6.667,39.814,15.009
1510140120,38.814,5.667,32.957,5.667,38.814,14.009
1510140180,37.814,4.667,31.957,4.667,37.814,13.009
1510140240,36.814,3.667,30.957,3.667,36.814,12.009
1510140300,35.814,2.667,29.957,2.667,35.814,11.009
1510140360,34.814,1.667,28.957,1.667,44.907,21.835
1510140420,43.907,6.409,32.657,6.409,43.907,20.835
1510140480,42.907,5.409,31.657,5.409,42.907,19.835
1510140540,41.907,4.409,30.657,4.409,41.907,18.835
1510140600,40.907,3.409,29.657,3.409,40.907,17.835
1510140660,39.907,2.409,28.657,2.409,39.907,16.835
1510140720,38.907,3.934,32.357,3.934,38.907,15.835
1510140780,37.907,2.934,31.357,2.934,37.907,14.835
1510140840,36.907,1.934,30.357,1.934,36.907,13.835
1510140900,35.907,6.613,34.057,6.613,35.907,12.835
1510140960,34.907,5.613,33.057,5.613,34.907,11.835
1510141020,33.907,4.613,32.057,4.613,33.907,10.835
1510141080,32.907,3.613,31.057,3.613,38.789,14.587
1510141140,31.907,2.613,30.057,2.613,37.789,13.587
1510141200,36.789,6.566,33.757,6.566,36.789,12.587
1510141260,35.789,5.566,32.757,5.566,35.789,11.587
1510141320,34.789,4.566,31.757,4.566,34.789,10.587
1510141380,33.789,3.566,30.757,3.566,36.093,12.443
1510141440,32.789,2.566,29.757,2.566,35.093,11.443
1510141500,34.093,6.075,28.757,6.075,34.093,10.443
1510141560,33.093,5.075,27.757,5.075,34.093,12.642
1510141620,32.093,4.075,26.757,4.075,33.093,11.642
1510141680,31.093,3.075,25.757,3.075,32.093,10.642
1510141740,30.093,2.075,24.757,2.075,36.07,13.881
1510141800,30.093,3.139,28.457,3.139,35.07,12.881
1510141860,29.093,2.139,27.457,2.139,34.07,11.881
1510141920,33.07,4.65,31.157,4.65,33.07,10.881
1510141980,32.07,3.65,30.157,3.65,37.783,16.202
1510142040,31.07,2.65,29.157,2.65,36.783,15.202
1510142100,35.783,8.012,32.857,8.012,35.783,14.202
1510142160,34.783,7.012,31.857,7.012,34.783,13.202
1510142220,33.783,6.012,30.857,6.012,33.783,12.202
1510142280,32.783,5.012,29.857,5.012,32.783,11.202
1510142340,31.783,4.012,28.857,4.012,34.022,12.603
1510142400,30.783,3.012,27.857,3.012,33.022,11.603
1510142460,29.783,2.012,26.857,2.012,32.022,10.603
1510142520,42.617,10.433,37.607,10.433,42.617,20.428
1510142580,41.617,9.433,36.607,9.433,41.617,19.428
1510142640,40.617,8.433,35.607,8.433,40.617,18.428
1510142700,39.617,7.433,34.607,7.433,39.617,17.428
1510142760,38.617,6.433,33.607,6.433,38.617,16.428
1510142820,37.617,5.433,32.607,5.433,37.617,15.428
1510142880,36.617,4.433,31.607,4.433,36.617,14.428
1510142940,35.617,3.433,30.607,3.433,35.617,13.428
1510143000,34.617,2.433,29.607,2.433,34.617,12.428
1510143060,33.617,2.466,30.957,2.466,33.617,11.428
1510143120,32.617,4.689,29.957,4.689,32.617,10.428
1510143180,31.617,3.689,28.957,3.689,32.642,11.77
1510143240,30.617,2.689,27.957,2.689,31.642,10.77
1510143300,29.617,1.689,26.957,1.689,34.148,11.521
